	utterance	feats
3891	i would like to thank you for filling in on such short notice for the vice president 	i notice vice president  i like you socialobligation
3892	do you have a car 	a car  you have car question
3893	you lying 	you lying  inform
3894	do you have a car 	a car  you have car question
3895	this car 	car    clarify
3896	do you have a car 	a car  you have car question
3897	could you please say something different 	please something  you say something question
3898	i am back again	i i am  inform
3899	my house is just a couple of blocks away 	house a couple blocks  house is  inform
3900	good are we going there 	we going  question
3901	what are we going to do 	what  we going what question
3902	have some food for dinner i can cook	food dinner i i cook food directive
3903	yes 	yes    commissive
3904	rendang	error
3905	please explain that to me 	please   that directive
3906	rendang is a spicy meat dish which originated from the minangkabau ethnic group of indonesia	a meat dish minangkabau group indonesia rendang is which originated  clarify
3907	ok thank you for explaining it 	ok   you it socialobligation
3908	do you like rendang	like  rendang question
3909	 a group from the 	a group   error
3910	rendang	clarify
3911	 a group from the 	a group   error
3912	rendang	clarify
3913	it is not the dish	dish it is  negativefeedback
3914	why the sequence is not in order	sequence order sequence is  question
3915	everything is in order 	everything order  everything is  answer
3916	i do not think so let me check the logs	i logs i think me check logs contradict
3917	check 	feedback
3918	hi alex	hi alex   socialobligation
3919	you three have a good weekend 	a weekend  you have three have weekend socialobligation
3920	yes how did you know it 	yes  you know it question
3921	squash it 	it directive
3922	ok good 	ok    feedback
3923	wait 	directive
3924	for what 	what    question
3925	no matter what you think you did come up with something unique 	what something  you think you come what directive
3926	thank you 	you socialobligation
3927	now i want you to do something for me 	i something  i want you do something directive
3928	tell me	me feedback
3929	he is taking care of the same business i will be taking care of soon as i dry off 	care business i care i  he taking i taking i dry care care inform
3930	ok but it is not clear what do you want from me 	ok but what  it is you want what clarify
3931	yeah 	yeah    feedback
3932	tell me clearly	me clarify
3933	you are rich what do you have to worry about 	what  you are you have what question
3934	i am not worry about anything	i anything   answer
3935	do not worry about it 	directive
3936	ok sure 	ok    feedback
3937	yeah they just need me downtown in half an hour for a news conference with the deputy mayor 	yeah downtown hour a news conference mayor  they need  inform
3938	hi alex	hi alex   socialobligation
3939	oh my god how old are you 	oh my god  you are  question
3940	that is so rude	that is  negativefeedback
3941	you guys were way rude it was shocking 	guys  guys were it was  contradict
3942	how are you 	you are  question
3943	i could not sleep i did not want to bug you 	i i  i sleep i want you answer
3944	what do you think about the new prime minister 	what minister  you think what question
3945	let is hope so cause if i did not we are gon na look like burnt out toaster ovens 	i toaster ovens  hope is i gon we gon  answer
3946	how old are you 	you are  question
3947	i am thirteen how old are you 	i  i am you are  answer
3948	i am 25	i i am  answer
3949	what are we going to do i do not know what to do 	what i what  we going i know what what question
3950	we can just talk for a little while	a while we talk  directive
3951	can we talk 	we talk  question
3952	yes what do you want to talk about 	yes what  you want what question
3953	anything anything at all 	anything anything    answer
3954	do you watch any tv series 	tv series  you watch series question
3955	what do you ride 	what  you ride what question
3956	what do you mean 	what  you mean what clarify
3957	when it is him it does not look like him 	it is it look  inform
3958	hi alex 	hi alex    socialobligation
3959	hi who looks like a carrot 	hi who a carrot  who looks  question
3960	i do not know who does 	i who  i know who does  negativefeedback
3961	him danny he is the man with the records 	man records  he is  inform
3962	why does he look like a carrot 	a carrot  he look  question
3963	what does he look like 	what  he look  question
3964	like a carrot	a carrot   answer
3965	must be my cologne eau dc carrot 	cologne eau carrot    commissive
3966	that is really funny	that is  inform
3967	that is not funny	that is  negativefeedback
3968	i am sorry	i i am  socialobligation
3969	oh my god they killed kenny 	oh my god kenny  they killed kenny inform
3970	oh no poor kenny 	oh no kenny    negativefeedback
3971	oh you poor dear you have been through so much 	oh dear  you been  inform
3972	i am so so sorry for him	i i am  socialobligation
3973	thanks 	thanks    socialobligation
3974	why did they do that it is so horrible	they do it is that question
3975	psychology they are trying to unnerve us 	psychology  they trying us answer
3976	i think they are succeeding	i i think they succeeding  commissive
3977	look 	directive
3978	hey there cutie	hey   socialobligation
